1546908006, 07/01/2019, 14:40:06, IGUA_002, cash, 000000, 10, 217
1546909108, 07/01/2019, 14:58:28, IGUA_002, cash, 000000, 30, 660
1546909933, 07/01/2019, 15:12:13, IGUA_002, cash, 000000, 50, 591
1546912709, 07/01/2019, 15:58:29, IGUA_002, cash, 000000, 50, 1047
1546912758, 07/01/2019, 15:59:18, IGUA_002, cash, 000000, 10, 218
1546914168, 07/01/2019, 16:22:48, IGUA_002, cash, 000000, 10, 227
1546928227, 07/01/2019, 20:17:07, IGUA_002, cash, 000000, 10, 211
1546973685, 08/01/2019, 08:54:45, IGUA_002, cash, 000000, 20, 415
1546973698, 08/01/2019, 08:54:58, IGUA_002, cash, 000000, 10, 211
1546976372, 08/01/2019, 09:39:32, IGUA_002, cash, 000000, 20, 411
1546982595, 08/01/2019, 11:23:15, IGUA_002, cash, 000000, 10, 211
1546994021, 08/01/2019, 14:33:41, IGUA_002, cash, 000000, 10, 270
1546994657, 08/01/2019, 14:44:17, IGUA_002, cash, 000000, 50, 2402
1546994731, 08/01/2019, 14:45:31, IGUA_002, cash, 000000, 50, 510
1546997365, 08/01/2019, 15:29:25, IGUA_002, cash, 000000, 10, 228
1546997378, 08/01/2019, 15:29:38, IGUA_002, cash, 000000, 10, 216
1546997539, 08/01/2019, 15:32:19, IGUA_002, cash, 000000, 10, 212
1546999477, 08/01/2019, 16:04:37, IGUA_002, cash, 000000, 50, 526
1547015503, 08/01/2019, 20:31:43, IGUA_002, cash, 000000, 50, 1028
1547015574, 08/01/2019, 20:32:54, IGUA_002, cash, 000000, 50, 1011
1547066996, 09/01/2019, 10:49:56, IGUA_002, cash, 000000, 50, 1030
1547067028, 09/01/2019, 10:50:28, IGUA_002, cash, 000000, 10, 210
1547069793, 09/01/2019, 11:36:33, IGUA_002, cash, 000000, 10, 230
1547069811, 09/01/2019, 11:36:51, IGUA_002, cash, 000000, 10, 217
1547079799, 09/01/2019, 14:23:19, IGUA_002, cash, 000000, 10, 213
1547079873, 09/01/2019, 14:24:33, IGUA_002, cash, 000000, 30, 522
1547081059, 09/01/2019, 14:44:19, IGUA_002, cash, 000000, 10, 229
1547081074, 09/01/2019, 14:44:34, IGUA_002, cash, 000000, 10, 211
1547083712, 09/01/2019, 15:28:32, IGUA_002, cash, 000000, 20, 413
1547083739, 09/01/2019, 15:28:59, IGUA_002, cash, 000000, 10, 242
1547085572, 09/01/2019, 15:59:32, IGUA_002, cash, 000000, 50, 684
1547086148, 09/01/2019, 16:09:08, IGUA_002, cash, 000000, 20, 427
1547089330, 09/01/2019, 17:02:10, IGUA_002, cash, 000000, 50, 953
1547089653, 09/01/2019, 17:07:33, IGUA_002, cash, 000000, 50, 1086
1547091579, 09/01/2019, 17:39:39, IGUA_002, cash, 000000, 10, 220
1547091598, 09/01/2019, 17:39:58, IGUA_002, cash, 000000, 10, 211
1547091631, 09/01/2019, 17:40:31, IGUA_002, cash, 000000, 10, 211
1547091647, 09/01/2019, 17:40:47, IGUA_002, cash, 000000, 10, 213
1547094582, 09/01/2019, 18:29:42, IGUA_002, cash, 000000, 50, 773
1547095144, 09/01/2019, 18:39:04, IGUA_002, cash, 000000, 20, 425
1547095431, 09/01/2019, 18:43:51, IGUA_002, cash, 000000, 10, 212
1547095442, 09/01/2019, 18:44:02, IGUA_002, cash, 000000, 10, 214
1547095538, 09/01/2019, 18:45:38, IGUA_002, cash, 000000, 10, 247
1547148254, 10/01/2019, 09:24:14, IGUA_002, cash, 000000, 50, 1010
1547148270, 10/01/2019, 09:24:30, IGUA_002, cash, 000000, 10, 211
1547156422, 10/01/2019, 11:40:22, IGUA_002, cash, 000000, 20, 460
1547157607, 10/01/2019, 12:00:07, IGUA_002, cash, 000000, 10, 271
1547158845, 10/01/2019, 12:20:45, IGUA_002, cash, 000000, 30, 671
1547160486, 10/01/2019, 12:48:06, IGUA_002, cash, 000000, 50, 1086
1547162402, 10/01/2019, 13:20:02, IGUA_002, cash, 000000, 30, 783
1547163024, 10/01/2019, 13:30:24, IGUA_002, cash, 000000, 10, 213
1547163045, 10/01/2019, 13:30:45, IGUA_002, cash, 000000, 10, 210
1547163510, 10/01/2019, 13:38:30, IGUA_002, cash, 000000, 10, 212
1547163645, 10/01/2019, 13:40:45, IGUA_002, cash, 000000, 60, 1255
1547167148, 10/01/2019, 14:39:08, IGUA_002, cash, 000000, 100, 2507
1547168050, 10/01/2019, 14:54:10, IGUA_002, cash, 000000, 50, 535
1547169374, 10/01/2019, 15:16:14, IGUA_002, cash, 000000, 20, 457
1547172658, 10/01/2019, 16:10:58, IGUA_002, cash, 000000, 50, 2397
1547173981, 10/01/2019, 16:33:01, IGUA_002, cash, 000000, 50, 1074
1547184263, 10/01/2019, 19:24:23, IGUA_002, cash, 000000, 10, 228
1547184282, 10/01/2019, 19:24:42, IGUA_002, cash, 000000, 10, 211
